country_code,country_name,year,GDP (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)",gdp_per_capita,gdp_annual_growth_pct
BR,Brazil,1960,17030465539.3906,,53.162,72388126.0,,235.26600950258887,
BR,Brazil,1961,17275940449.3837,,53.594,74605447.0,,231.56406326985348,1.4413869628245424
BR,Brazil,1962,19231747851.5332,,54.017,76865323.0,,250.2005729102732,11.320989487546363
BR,Brazil,1963,23287712878.2002,,54.452,79164235.0,,294.16961937673244,21.089944907652523
BR,Brazil,1964,20963733694.9749,,54.848,81488595.0,,257.25972689767076,-9.979422175892571
BR,Brazil,1965,22465522884.0988,,55.243,83817583.0,,268.028760553723,7.163748647903723
BR,Brazil,1966,28283323733.1114,,55.625,86139359.0,,328.34379151940755,25.896574404375272
BR,Brazil,1967,31086389194.961,,56.016,88446124.0,,351.47260037037915,9.91066498513411
BR,Brazil,1968,33930457425.2613,,56.47,90741240.0,,373.92543263968287,9.1489179153728
BR,Brazil,1969,37171640818.5863,,56.898,93045777.0,,399.4984191339098,9.552430586779948
BR,Brazil,1970,42327664793.6934,,57.338,95375651.0,,443.79948498273836,13.870853859453568
BR,Brazil,1971,48869830901.7878,,57.786,97739273.0,,500.0019889833619,15.45600528633262
BR,Brazil,1972,58434858374.8696,,58.255,100146797.0,,583.4920349461561,19.57245870628106
BR,Brazil,1973,83592275862.9982,,58.681,102600976.0,,814.731780553415,43.05207232083883
BR,Brazil,1974,109794519727.538,,59.081,105089675.0,,1044.769809474984,31.34529308363778
BR,Brazil,1975,129203555238.827,,59.556,107619565.0,,1200.558237146071,17.677599537257183
BR,Brazil,1976,153168949208.207,,60.007,110213349.0,,1389.74952306555,18.54855613305768
BR,Brazil,1977,176344101401.941,,60.461,112875292.0,,1562.2914304570836,15.130450599508482
BR,Brazil,1978,200278646123.581,,60.922,115600942.0,,1732.5001220455538,13.572636981537588
BR,Brazil,1979,221338204480.222,,61.365,118380821.0,,1869.7133759548938,10.51512917839792
BR,Brazil,1980,237393489892.637,,61.819,121207461.0,,1958.5715923266225,7.253734370041687
BR,Brazil,1981,258015174748.648,101.725072957927,62.267,124063109.0,,2079.709083774839,8.686710349697169
BR,Brazil,1982,271314113768.417,100.54335919485,62.708,126923155.0,,2137.6250359394,5.154324365892227
BR,Brazil,1983,189656506321.431,135.027682230473,63.133,129790077.0,,1461.2558271417852,-30.097073208910064
BR,Brazil,1984,188339974086.58,192.121733132051,63.553,132658864.0,,1419.7315460697748,-0.6941666597083396
BR,Brazil,1985,210879844638.877,225.989665211895,63.98,135515595.0,,1556.1297180510996,11.96765087263707
BR,Brazil,1986,256480852471.129,147.142826237604,64.389,138336370.0,,1854.0377521191933,21.624166079191596
BR,Brazil,1987,283056836893.838,228.336162575513,64.785,141104944.0,,2006.0022623575685,10.361781071240216
BR,Brazil,1988,307881930752.268,629.114509120897,65.161,143826357.0,,2140.6502756116392,8.770356558368796
BR,Brazil,1989,412990820287.42,1430.7237251472,65.514,146502972.0,,2818.9927798012177,34.1393498729635
BR,Brazil,1990,384959818181.817,2947.732772483,65.862,149143223.0,,2581.141874490784,-6.78731844114473
BR,Brazil,1991,342534090909.091,432.786661926461,66.203,151724256.0,,2257.6092968885014,-11.020819646347679
BR,Brazil,1992,328191909882.232,951.962053052818,66.539,154275079.0,,2127.316427316378,-4.187081346792265
BR,Brazil,1993,368292034380.96,1927.38079016026,66.892,156794577.0,,2348.8824768535205,12.218498778083076
BR,Brazil,1994,525369467295.737,2075.88839757325,67.293,159265006.0,,3298.7125074778637,42.65023900905134
BR,Brazil,1995,769333050986.905,66.0070335542481,67.701,161735073.0,,4756.748407854028,46.43657442579128
BR,Brazil,1996,850426432991.742,15.7576656002606,68.108,164202549.0,,5179.130520024643,10.54073809786409
BR,Brazil,1997,883206179730.462,6.92671251629154,68.505,166661659.0,,5299.396304044123,3.8545070410621163
BR,Brazil,1998,863710759256.435,3.19507629280052,68.848,169159655.0,,5105.890995441171,-2.2073464748601057
BR,Brazil,1999,599642024319.531,4.85844749902667,69.211,171641543.0,,3493.5716251369927,-30.573746142081138
BR,Brazil,2000,655448231983.527,7.04414105947266,69.584,174018282.0,,3766.5481146603147,9.306587163787338
BR,Brazil,2001,559983634798.981,6.84035902487523,69.98,176301203.0,,3176.2893574752347,-14.56478063807567
BR,Brazil,2002,509795273806.715,8.45016437708331,70.396,178503484.0,,2855.9401888576867,-8.962469235423676
BR,Brazil,2003,558233745651.874,14.7149197228147,70.884,180622688.0,,3090.607009745498,9.50155372831567
BR,Brazil,2004,669289424806.307,6.59718509985963,71.361,182675143.0,,3663.8231880639996,19.894117834948943
BR,Brazil,2005,891633839894.183,6.86953720898964,71.832,184688101.0,,4827.781730747142,33.22096642304226
BR,Brazil,2006,1107626541434.92,4.18356812896909,72.296,186653106.0,,5934.144709249681,24.22437236863626
BR,Brazil,2007,1397114486368.67,3.64127299102652,72.73,188552320.0,,7409.691306734756,26.135880109799547
BR,Brazil,2008,1695855083497.52,5.67859390284168,73.111,190367302.0,,8908.331765386474,21.382685531042345
BR,Brazil,2009,1666996438581.43,4.88803479876799,73.457,192079951.0,,8678.659224467576,-1.7017164495312986
BR,Brazil,2010,2208837745100.55,5.03872690108075,73.779,193701929.0,,11403.282127874678,32.50404703804961
BR,Brazil,2011,2616156223917.69,6.6364496221309,74.047,195284734.0,,13396.624356298582,18.44039833711726
BR,Brazil,2012,2465227802806.76,5.40349914036997,74.335,196876111.0,,12521.721351996635,-5.769090535614696
BR,Brazil,2013,2472819535557.21,6.20431066640101,74.609,198478299.0,,12458.891213881321,0.307952585225868
BR,Brazil,2014,2456043727198.85,6.32904015516139,74.823,200085127.0,,12274.993968936282,-0.6784081133757169
BR,Brazil,2015,1802212206814.5,9.02990102416136,75.106,201675532.0,,8936.19661712111,-26.621330603508987
BR,Brazil,2016,1795693482853.01,8.73914352329393,75.081,203218114.0,,8836.286527356562,-0.36170679217694124
BR,Brazil,2017,2063514977365.65,3.44637335032669,75.383,204703445.0,,10080.509281930501,14.914655372426001
BR,Brazil,2018,1916933898010.99,3.66485028376729,75.633,206107261.0,,9300.661649232192,-7.103465735043512
BR,Brazil,2019,1873288205059.69,3.73297621216894,75.809,207455459.0,,9029.833266810732,-2.276849138960235
BR,Brazil,2020,1476107231310.49,3.21176803803376,74.506,208660842.0,,7074.193783376423,-21.20234209965275
BR,Brazil,2021,1670647398904.9,8.30165975585673,73.038,209550294.0,,7972.53664986459,13.179270683586907
BR,Brazil,2022,1951923942083.32,9.28010608956873,74.872,210306415.0,,9281.333344412342,16.836379918515142
BR,Brazil,2023,2191131765684.63,4.59356282283204,75.848,211140729.0,,10377.589279255684,12.254976663998463
BR,Brazil,2024,2185821610689.31,4.36746407652337,76.023,211998573.0,,10310.548697369346,-0.24234758851485738
BR,Brazil,2025,2279920092492.13,5.01675279604836,,212812405.0,,10713.285686951049,4.304947912613288
CN,China,1960,59846235024.7318,,33.419,667070000.0,,89.71507491677305,
CN,China,1961,50162299349.7871,,40.158,660330000.0,,75.96550111275741,-16.18136156926623
CN,China,1962,47310737754.2287,,50.959,665770000.0,,71.06168459712619,-5.684670823548499
CN,China,1963,50812227918.5753,,51.67,682335000.0,,74.46815408644625,7.401047480037737
CN,China,1964,59821862703.4023,,52.343,698355000.0,,85.66110746454497,17.73123351187158
CN,China,1965,70565994356.1828,,53.001,715185000.0,,98.6681688740435,17.960209139675353
CN,China,1966,76854053259.209,,53.662,735400000.0,,104.50646350177999,8.910891089108919
CN,China,1967,73011350596.2485,,54.401,754550000.0,,96.76144801040157,-5.00000000000006
CN,China,1968,70980323818.7853,,55.191,774510000.0,,91.64545818489793,-2.7817959274507253
CN,China,1969,79847786729.1898,,55.988,796025000.0,,100.30813947952615,12.49284651482203
CN,China,1970,92752930873.1912,,56.824,818315000.0,,113.3462430398944,16.16218141120207
CN,China,1971,99959013879.6308,,57.731,841105000.0,,118.84249157909036,7.769116230183104
CN,China,1972,113871930713.841,,58.579,862030000.0,,132.09741043100703,13.918621537187171
CN,China,1973,138764340892.0,,59.496,881940000.0,,157.33988807855408,21.86000537807107
CN,China,1974,144418433058.472,,60.241,900350000.0,,160.40254685230408,4.074600239605175
CN,China,1975,163687619735.857,,60.952,916395000.0,,178.62124928208578,13.342608882609408
CN,China,1976,154196810058.643,,61.225,930685000.0,,165.68098772263764,-5.798123091122786
CN,China,1977,175226595859.778,,62.458,943455000.0,,185.72862071829394,13.638275521482646
CN,China,1978,149788617886.179,,63.102,956165000.0,,156.65561685083534,-14.517190069682872
CN,China,1979,178573913043.478,,63.704,969005000.0,,184.28585305904303,19.21727803054589
CN,China,1980,191487500000.0,,64.243,981235000.0,,195.14947999205083,7.231508083365945
CN,China,1981,196218253968.254,,64.778,993885000.0,,197.42551096782222,2.470528869118871
CN,China,1982,205480916030.534,,65.249,1008630000.0,,203.7227883669274,4.720591420499853
CN,China,1983,231130268199.234,,65.728,1023310000.0,,225.86534696156005,12.482595787576
CN,China,1984,260442857142.857,,66.148,1036825000.0,,251.1926864638266,12.682280504410425
CN,China,1985,310064625850.34,,66.532,1051040000.0,,295.0074458158967,19.052843012033428
CN,China,1986,301310144927.536,,66.887,1066790000.0,,282.445603096707,-2.823437500745274
CN,China,1987,273455156950.673,7.23383553065609,67.263,1084035000.0,,252.2567601144548,-9.244623337711388
CN,China,1988,312888888888.889,18.8118179448753,67.607,1101630000.0,,284.02357314968634,14.420547916501425
CN,China,1989,348380566801.619,18.2456383621648,67.93,1118650000.0,,311.4294612270317,11.343220923812858
CN,China,1990,361560229445.507,3.05229012075233,68.155,1135185000.0,,318.50335359039013,3.7831222231729633
CN,China,1991,384510452961.672,3.55668565220452,68.61,1150780000.0,2.37,334.1302881190775,6.347551983624333
CN,China,1992,428502354788.069,6.35398134024869,69.059,1164970000.0,2.37,367.82265190354167,11.44101583911481
CN,China,1993,446557291212.148,14.6100786356602,69.492,1178440000.0,2.69,378.93935305331456,4.213497597465654
CN,China,1994,566929539493.172,24.2569897243361,69.835,1191835000.0,2.9,475.6778744483691,26.955611441094618
CN,China,1995,738190896227.55,16.7912268492666,70.363,1204855000.0,3.0,612.6802778986269,30.20857880989647
CN,China,1996,868523936530.083,8.3131587270211,70.823,1217550000.0,3.12,713.337387811657,17.655736608049043
CN,China,1997,967753570434.667,2.78646505531882,71.227,1230075000.0,3.23,786.743548510999,11.4250891346789
CN,China,1998,1037134141760.35,-0.773186011549318,71.601,1241935000.0,3.24,835.0953485974306,7.169239509446679
CN,China,1999,1103843203575.64,-1.40147268276465,71.952,1252735000.0,3.25,881.1466140689291,6.432057255589263
CN,China,2000,1223754919971.05,0.347811226864587,72.288,1262645000.0,3.26,969.1995136962884,10.863111355578802
CN,China,2001,1355036590251.52,0.719125609120114,72.675,1271850000.0,3.8,1065.40597574519,10.7277746661542
CN,China,2002,1489821682050.54,-0.731970902350244,73.034,1280400000.0,4.24,1163.559576734255,9.946970640401776
CN,China,2003,1683903309843.85,1.12760348729637,73.385,1288400000.0,4.58,1306.9724540855714,13.027171649575052
CN,China,2004,1984196551300.44,3.82463743108159,73.727,1296075000.0,4.49,1530.9272621572363,17.83316415503906
CN,China,2005,2317551298052.05,1.77641407667571,74.085,1303720000.0,4.52,1777.6449682846392,16.800490179923443
CN,China,2006,2791498472804.33,1.6494309945586,74.404,1311020000.0,4.43,2129.2569699961327,20.450342357066397
CN,China,2007,3604055822571.63,4.81676767378834,74.789,1317885000.0,4.35,2734.7270987769266,29.108285663900336
CN,China,2008,4667346414521.95,5.92525137041092,74.833,1324655000.0,4.59,3523.4430206521324,29.502611621360032
CN,China,2009,5189577094997.58,-0.728165250932898,75.317,1331260000.0,4.72,3898.2445915881044,11.189027642147265
CN,China,2010,6192564874453.29,3.17532475269199,75.668,1337705000.0,4.53,4629.245517100773,19.32696559075162
CN,China,2011,7671757207851.29,5.55389892257493,75.889,1345035000.0,4.55,5703.760279733457,23.88658598475466
CN,China,2012,8673664713189.24,2.61952432645541,76.2,1354190000.0,4.58,6405.0574241349,13.059687346630255
CN,China,2013,9743124247267.24,2.62105001748115,76.452,1363240000.0,4.6,7147.035186223438,12.329961664897793
CN,China,2014,10674533168257.4,1.92164162788521,76.714,1371860000.0,4.63,7781.0659748497665,9.55965352952779
CN,China,2015,11280814787468.9,1.43702380935655,76.975,1379860000.0,4.65,8175.33285077392,5.679701488158617
CN,China,2016,11456024084962.0,2.00000182191943,77.214,1387790000.0,4.56,8254.868593203582,1.553161724521246
CN,China,2017,12537559062282.9,1.59313600071436,77.235,1396215000.0,4.47,8979.676527098549,9.440753347757024
