country_code,country_name,year,GDP (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)"
BR,Brazil,1960,17030465539.3906,,53.162,72388126.0,
BR,Brazil,1961,17275940449.3837,,53.594,74605447.0,
BR,Brazil,1962,19231747851.5332,,54.017,76865323.0,
BR,Brazil,1963,23287712878.2002,,54.452,79164235.0,
BR,Brazil,1964,20963733694.9749,,54.848,81488595.0,
BR,Brazil,1965,22465522884.0988,,55.243,83817583.0,
BR,Brazil,1966,28283323733.1114,,55.625,86139359.0,
BR,Brazil,1967,31086389194.961,,56.016,88446124.0,
BR,Brazil,1968,33930457425.2613,,56.47,90741240.0,
BR,Brazil,1969,37171640818.5863,,56.898,93045777.0,
BR,Brazil,1970,42327664793.6934,,57.338,95375651.0,
BR,Brazil,1971,48869830901.7878,,57.786,97739273.0,
BR,Brazil,1972,58434858374.8696,,58.255,100146797.0,
BR,Brazil,1973,83592275862.9982,,58.681,102600976.0,
BR,Brazil,1974,109794519727.538,,59.081,105089675.0,
BR,Brazil,1975,129203555238.827,,59.556,107619565.0,
BR,Brazil,1976,153168949208.207,,60.007,110213349.0,
BR,Brazil,1977,176344101401.941,,60.461,112875292.0,
BR,Brazil,1978,200278646123.581,,60.922,115600942.0,
BR,Brazil,1979,221338204480.222,,61.365,118380821.0,
BR,Brazil,1980,237393489892.637,,61.819,121207461.0,
BR,Brazil,1981,258015174748.648,101.725072957927,62.267,124063109.0,
BR,Brazil,1982,271314113768.417,100.54335919485,62.708,126923155.0,
BR,Brazil,1983,189656506321.431,135.027682230473,63.133,129790077.0,
BR,Brazil,1984,188339974086.58,192.121733132051,63.553,132658864.0,
BR,Brazil,1985,210879844638.877,225.989665211895,63.98,135515595.0,
BR,Brazil,1986,256480852471.129,147.142826237604,64.389,138336370.0,
BR,Brazil,1987,283056836893.838,228.336162575513,64.785,141104944.0,
BR,Brazil,1988,307881930752.268,629.114509120897,65.161,143826357.0,
BR,Brazil,1989,412990820287.42,1430.7237251472,65.514,146502972.0,
BR,Brazil,1990,384959818181.817,2947.732772483,65.862,149143223.0,
BR,Brazil,1991,342534090909.091,432.786661926461,66.203,151724256.0,6.887
BR,Brazil,1992,328191909882.232,951.962053052818,66.539,154275079.0,7.086
BR,Brazil,1993,368292034380.96,1927.38079016026,66.892,156794577.0,6.03
BR,Brazil,1994,525369467295.737,2075.88839757325,67.293,159265006.0,6.579
BR,Brazil,1995,769333050986.905,66.0070335542481,67.701,161735073.0,7.092
BR,Brazil,1996,850426432991.742,15.7576656002606,68.108,164202549.0,8.035
BR,Brazil,1997,883206179730.462,6.92671251629154,68.505,166661659.0,9.003
BR,Brazil,1998,863710759256.435,3.19507629280052,68.848,169159655.0,10.15
BR,Brazil,1999,599642024319.531,4.85844749902667,69.211,171641543.0,11.125
BR,Brazil,2000,655448231983.527,7.04414105947266,69.584,174018282.0,10.889
BR,Brazil,2001,559983634798.981,6.84035902487523,69.98,176301203.0,10.649
BR,Brazil,2002,509795273806.715,8.45016437708331,70.396,178503484.0,10.641
BR,Brazil,2003,558233745651.874,14.7149197228147,70.884,180622688.0,11.168
BR,Brazil,2004,669289424806.307,6.59718509985963,71.361,182675143.0,10.072
BR,Brazil,2005,891633839894.183,6.86953720898964,71.832,184688101.0,10.551
BR,Brazil,2006,1107626541434.92,4.18356812896909,72.296,186653106.0,9.692
BR,Brazil,2007,1397114486368.67,3.64127299102652,72.73,188552320.0,9.28
BR,Brazil,2008,1695855083497.52,5.67859390284168,73.111,190367302.0,8.268
BR,Brazil,2009,1666996438581.43,4.88803479876799,73.457,192079951.0,9.419
BR,Brazil,2010,2208837745100.55,5.03872690108075,73.779,193701929.0,8.42
BR,Brazil,2011,2616156223917.69,6.6364496221309,74.047,195284734.0,7.578
BR,Brazil,2012,2465227802806.76,5.40349914036997,74.335,196876111.0,7.251
BR,Brazil,2013,2472819535557.21,6.20431066640101,74.609,198478299.0,7.071
BR,Brazil,2014,2456043727198.85,6.32904015516139,74.823,200085127.0,6.755
BR,Brazil,2015,1802212206814.5,9.02990102416136,75.106,201675532.0,8.538
BR,Brazil,2016,1795693482853.01,8.73914352329393,75.081,203218114.0,11.58
BR,Brazil,2017,2063514977365.65,3.44637335032669,75.383,204703445.0,12.792
BR,Brazil,2018,1916933898010.99,3.66485028376729,75.633,206107261.0,12.329
BR,Brazil,2019,1873288205059.69,3.73297621216894,75.809,207455459.0,11.936
BR,Brazil,2020,1476107231310.49,3.21176803803376,74.506,208660842.0,13.697
BR,Brazil,2021,1670647398904.9,8.30165975585673,73.038,209550294.0,13.158
BR,Brazil,2022,1951923942083.32,9.28010608956873,74.872,210306415.0,9.231
BR,Brazil,2023,2191131765684.63,4.59356282283204,75.848,211140729.0,7.947
BR,Brazil,2024,2185821610689.31,4.36746407652337,76.023,211998573.0,6.801
BR,Brazil,2025,2279920092492.13,5.01675279604836,,212812405.0,5.97
CN,China,1960,59846235024.7318,,33.419,667070000.0,
CN,China,1961,50162299349.7871,,40.158,660330000.0,
CN,China,1962,47310737754.2287,,50.959,665770000.0,
CN,China,1963,50812227918.5753,,51.67,682335000.0,
